item_id,prompt_name,case_name,model,prompt_tokens,completion_tokens,reasoning_tokens,output_tokens,total_tokens
001-242528,instruction,CASE OF HAYK GRIGORYAN v. ARMENIA,openai/gpt-5.4,5444,2093,1015,1078,7537
001-242528,non_curated,CASE OF HAYK GRIGORYAN v. ARMENIA,openai/gpt-5.4,5010,2333,1023,1310,7343
001-242528,gpt_assisted,CASE OF HAYK GRIGORYAN v. ARMENIA,openai/gpt-5.4,5864,5031,3846,1185,10895
001-242634,instruction,CASE OF BACKOVIĆ v. SERBIA (No. 2),openai/gpt-5.4,3493,2354,1533,821,5847
001-242634,non_curated,CASE OF BACKOVIĆ v. SERBIA (No. 2),openai/gpt-5.4,3059,2544,1247,1297,5603
001-242634,gpt_assisted,CASE OF BACKOVIĆ v. SERBIA (No. 2),openai/gpt-5.4,3913,4990,3624,1366,8903
001-242859,instruction,CASE OF AVAGYAN v. RUSSIA,openai/gpt-5.4,1919,2185,1285,900,4104
001-242859,non_curated,CASE OF AVAGYAN v. RUSSIA,openai/gpt-5.4,1485,2643,1216,1427,4128
001-242859,gpt_assisted,CASE OF AVAGYAN v. RUSSIA,openai/gpt-5.4,2339,3333,2194,1139,5672
001-242860,instruction,CASE OF TERGEK v. TÜRKİYE,openai/gpt-5.4,3619,2607,1617,990,6226
001-242860,non_curated,CASE OF TERGEK v. TÜRKİYE,openai/gpt-5.4,3185,2260,1034,1226,5445
001-242860,gpt_assisted,CASE OF TERGEK v. TÜRKİYE,openai/gpt-5.4,4039,3780,2398,1382,7819
001-243184,instruction,CASE OF RUSS v. GERMANY,openai/gpt-5.4,2914,3400,2588,812,6314
001-243184,non_curated,CASE OF RUSS v. GERMANY,openai/gpt-5.4,2480,3042,1886,1156,5522
001-243184,gpt_assisted,CASE OF RUSS v. GERMANY,openai/gpt-5.4,3334,4267,3344,923,7601
001-243188,instruction,CASE OF GEVORGYAN v. ARMENIA,openai/gpt-5.4,5803,1885,1034,851,7688
001-243188,non_curated,CASE OF GEVORGYAN v. ARMENIA,openai/gpt-5.4,5369,2235,1002,1233,7604
001-243188,gpt_assisted,CASE OF GEVORGYAN v. ARMENIA,openai/gpt-5.4,6223,5425,4338,1087,11648
001-243250,instruction,CASE OF NEMYTOV AND OTHERS v. RUSSIA,openai/gpt-5.4,14502,3951,2794,1157,18453
001-243250,non_curated,CASE OF NEMYTOV AND OTHERS v. RUSSIA,openai/gpt-5.4,14068,4105,2447,1658,18173
001-243250,gpt_assisted,CASE OF NEMYTOV AND OTHERS v. RUSSIA,openai/gpt-5.4,14922,5095,3624,1471,20017
001-243257,instruction,CASE OF SELISHCHEVA AND OTHERS v. RUSSIA,openai/gpt-5.4,2659,2455,1511,944,5114
001-243257,non_curated,CASE OF SELISHCHEVA AND OTHERS v. RUSSIA,openai/gpt-5.4,2225,2384,1187,1197,4609
001-243257,gpt_assisted,CASE OF SELISHCHEVA AND OTHERS v. RUSSIA,openai/gpt-5.4,3079,3603,2481,1122,6682
001-243887,instruction,CASE OF ARVANITIS AND PHILELEFTHEROS PUBLIC COMPANY LIMITED v. CYPRUS,openai/gpt-5.4,3838,3000,2143,857,6838
001-243887,non_curated,CASE OF ARVANITIS AND PHILELEFTHEROS PUBLIC COMPANY LIMITED v. CYPRUS,openai/gpt-5.4,3404,3010,1552,1458,6414
001-243887,gpt_assisted,CASE OF ARVANITIS AND PHILELEFTHEROS PUBLIC COMPANY LIMITED v. CYPRUS,openai/gpt-5.4,4258,4431,3057,1374,8689
001-243982,instruction,CASE OF GOOGLE LLC AND OTHERS v. RUSSIA,openai/gpt-5.4,7037,3794,2762,1032,10831
001-243982,non_curated,CASE OF GOOGLE LLC AND OTHERS v. RUSSIA,openai/gpt-5.4,6603,4082,2708,1374,10685
001-243982,gpt_assisted,CASE OF GOOGLE LLC AND OTHERS v. RUSSIA,openai/gpt-5.4,7457,4506,3106,1400,11963
001-244004,instruction,CASE OF RODINA AND BORISOVA v. LATVIA,openai/gpt-5.4,16116,3148,2070,1078,19264
001-244004,non_curated,CASE OF RODINA AND BORISOVA v. LATVIA,openai/gpt-5.4,15682,2992,1552,1440,18674
001-244004,gpt_assisted,CASE OF RODINA AND BORISOVA v. LATVIA,openai/gpt-5.4,16536,6504,5256,1248,23040
001-244080,instruction,CASE OF MZHAVANADZE AND RUKHADZE v. GEORGIA,openai/gpt-5.4,7784,3635,2721,914,11419
001-244080,non_curated,CASE OF MZHAVANADZE AND RUKHADZE v. GEORGIA,openai/gpt-5.4,7350,2899,1633,1266,10249
001-244080,gpt_assisted,CASE OF MZHAVANADZE AND RUKHADZE v. GEORGIA,openai/gpt-5.4,8204,4787,3585,1202,12991
001-244292,instruction,CASE OF UKRAINE AND THE NETHERLANDS v. RUSSIA,openai/gpt-5.4,13218,2266,1411,855,15484
001-244292,non_curated,CASE OF UKRAINE AND THE NETHERLANDS v. RUSSIA,openai/gpt-5.4,12784,3013,1913,1100,15797
001-244292,gpt_assisted,CASE OF UKRAINE AND THE NETHERLANDS v. RUSSIA,openai/gpt-5.4,13638,1724,516,1208,15362
001-245685,instruction,CASE OF MARKO TEŠIĆ v. SERBIA,openai/gpt-5.4,3034,2324,1482,842,5358
001-245685,non_curated,CASE OF MARKO TEŠIĆ v. SERBIA,openai/gpt-5.4,2600,2756,1370,1386,5356
001-245685,gpt_assisted,CASE OF MARKO TEŠIĆ v. SERBIA,openai/gpt-5.4,3454,3447,2208,1239,6901
001-246124,instruction,CASE OF AZADLIQ NEWSPAPER v. AZERBAIJAN,openai/gpt-5.4,3207,2831,1963,868,6038
001-246124,non_curated,CASE OF AZADLIQ NEWSPAPER v. AZERBAIJAN,openai/gpt-5.4,2773,2613,1165,1448,5386
001-246124,gpt_assisted,CASE OF AZADLIQ NEWSPAPER v. AZERBAIJAN,openai/gpt-5.4,3627,4405,3196,1209,8032
001-246134,instruction,CASE OF EUROPA WAY S.R.L. v. ITALY,openai/gpt-5.4,11135,3971,3016,955,15106
001-246134,non_curated,CASE OF EUROPA WAY S.R.L. v. ITALY,openai/gpt-5.4,10701,3726,2450,1276,14427
001-246134,gpt_assisted,CASE OF EUROPA WAY S.R.L. v. ITALY,openai/gpt-5.4,11555,7730,6423,1307,19285
